INDEX, TIME, CORRECT_WORDS, NUM_ALL_WORDS, NUM_DISTRACTIONS, NUM_KEYS_PRESSED, NUM_MONKEYS, MIN_MONKEY_SPEED, MAX_MONKEY_SPEED, AVE_MONKEY_SPEED, NUM_SERVICE, MIN_SERVICE_TIME, MAX_SERVICE_TIME, AVE_SERVICE_TIME, NUM_REPAIRS, MIN_REPAIR_TIME, MAX_REPAIR_TIME, AVE_REPAIR_TIME 
1, 1000331713.9571611, WAGES, 4649, 90255, 23241, 128847, 0.0018933273020067531, 1244.783726042852, 205.50068030961648, 23241, 1.3272820331427639e-05, 11.72766182742905, 1.0082861221903097, 15351, 0.0009995295588671666, 342.0698748550242, 0.0 
2, 163685538.13708472, RUFFS, 750, 14580, 3746, 20886, 0.02757103323135368, 1066.785971026601, 206.95557840207837, 3746, 0.000260346598533927, 9.199988654619471, 0.9985839892416719, 2560, 0.0022764873252319076, 279.5221187534242, 0.0 
3, 74616344.15545878, BAKER, 351, 6723, 1751, 9633, 0.07843880776607648, 1133.1181521334017, 206.16896896492727, 1751, 0.0005611091842466875, 8.571200471998022, 1.0315187984624274, 1159, 0.1624863885271233, 265.11834914941903, 0.0 
4, 35796744.655486934, SHEER, 162, 3255, 806, 4637, 0.009071080383790786, 980.3396984354556, 204.1934071841602, 806, 0.0021464689563598853, 6.735788860513274, 0.9602836682284278, 576, 0.06150764557800184, 188.17047114544775, 0.0 
5, 247805737.8095906, HEARD, 1143, 22424, 5711, 31960, 0.0027594753839679242, 1171.275180514532, 206.0100472824123, 5711, 1.2495984826168183e-05, 9.249915468790466, 1.001982374310424, 3825, 0.009355599827688917, 227.32768983609802, 0.0 
6, 181350317.3477033, FINDS, 859, 16312, 4291, 23384, 0.002956079506837739, 1113.5889592881122, 205.35122596275983, 4291, 1.8098118152964123e-05, 10.439083615918754, 1.0055215473129007, 2781, 0.023332056992383204, 272.61971311328733, 0.0 
7, 317128314.60111266, DOSER, 1454, 28885, 7266, 41111, 0.02308241423811097, 1044.23703084492, 205.3845621488096, 7266, 2.74511005554245e-05, 8.643730232323568, 0.9797699762818878, 4960, 0.012383729311918532, 260.25626549097166, 0.0 
8, 170171482.82488298, SIGHT, 790, 15264, 3946, 21888, 5.707292049095258e-05, 1242.3777044156946, 204.92405823922482, 3946, 8.286923098743203e-05, 7.641701774468625, 1.0152448212191005, 2678, 0.0013166773119587616, 308.39667563158247, 0.0 
9, 25482980.75762899, TAMED, 123, 2292, 611, 3288, 0.08283456972824865, 980.8368197963573, 205.34050732300776, 611, 0.0028239602567107416, 7.758156777602441, 1.0211629477065538, 385, 0.05270754251131302, 225.07404679413523, 0.0 
10, 381009636.1500441, OFFED, 1763, 34219, 8811, 48891, 0.011824372255681226, 1194.335502257179, 206.31711885017393, 8811, 0.00045433002328534975, 10.174444171365215, 1.011050196794687, 5861, 0.0024249452168802325, 345.2075844023276, 0.0 
11, 226109752.4149881, GANGS, 1055, 20385, 5271, 29033, 0.0026252432329485487, 1123.6630820433, 206.88452010341328, 5271, 0.00029165067556407225, 8.740914405471914, 0.9922239096264872, 3377, 0.008742572448422092, 252.11647128921547, 0.0 
12, 231433618.93300268, TEASE, 1065, 20753, 5321, 29687, 0.019266060849822964, 1092.1351782880756, 206.24010164873974, 5321, 0.0003162303648830035, 8.321041625706483, 1.0008692080728692, 3613, 0.003178723412288817, 403.4374323540033, 0.0 
13, 439605416.859093, ANGEL, 2070, 39736, 10346, 56825, 0.019393574255865076, 1199.3307429262682, 204.9449146082057, 10346, 6.77611538568455e-05, 11.10558800485652, 0.9879575806418337, 6743, 0.004108429811281914, 234.52376386043517, 0.0 
14, 438321516.8314678, FLUBS, 2031, 39464, 10151, 56344, 0.0005690950227403846, 1077.6755065978655, 205.58020954270435, 10151, 0.0002679443853131029, 13.58076616379871, 1.0178814162086862, 6729, 0.0027455430619519523, 296.27226795906944, 0.0 
15, 292477933.6941621, GLEBE, 1358, 26481, 6786, 37774, 0.004084399450988485, 1131.5032651565843, 205.51630575248882, 6786, 0.0001865589934404003, 11.885704167736396, 0.994801522094172, 4507, 0.002193998475696551, 307.22323542501874, 0.0 
16, 268506287.66858405, TABBY, 1245, 23771, 6221, 34202, 0.008331928877623795, 1048.1751031109513, 207.25736725754751, 6221, 6.976457729229472e-07, 9.014319206138998, 1.0197101476880208, 4210, 0.0010660948078270102, 267.1281241258968, 0.0 
17, 430159653.834377, FUSED, 1978, 38806, 9886, 55424, 0.010607304158433806, 1077.5868987128633, 205.609982162715, 9886, 8.033007464402768e-05, 8.327073431388836, 0.9907215720860298, 6732, 2.7015652259083595e-05, 281.88795223808404, 0.0 
18, 2223634096.0578074, CEDED, 10282, 200773, 51406, 286505, 0.0014002566523529936, 1169.0690863615232, 205.75729379992538, 51406, 3.7507309120393935e-07, 13.416640725683123, 0.9988317140894749, 34326, 0.00013114737386688344, 417.4483227552293, 0.0 
19, 328785510.70627373, MOVIE, 1535, 30141, 7671, 42806, 0.010096108909095847, 1066.453449735178, 204.3445107320782, 7671, 0.0001231948730076065, 10.596397019110944, 1.014608861197383, 4994, 0.0019311253846830603, 271.33602702484745, 0.0 
20, 40321950.3381923, HEFTY, 194, 3666, 966, 5241, 0.02561628397482707, 901.8137889701676, 204.92648428805478, 966, 0.0006848023741373375, 7.616369264364645, 1.0370756205424507, 609, 0.36573697564993096, 306.2449418345957, 0.0 
21, 158431845.87260997, SHEAF, 735, 14496, 3671, 20611, 0.0055550580049228415, 1037.1744812416189, 203.89454579317572, 3671, 8.058584328895305e-06, 9.447979768726519, 0.9991303332241539, 2444, 0.0021987963361838492, 243.13632946239304, 0.0 
22, 202908599.9750004, THIRD, 944, 18303, 4716, 26153, 0.026079360259615214, 1029.1822763480238, 205.42689713342827, 4716, 9.820463376995592e-06, 9.934483176523743, 1.0093875919843183, 3134, 0.0016871860882416844, 261.1273762160969, 0.0 
23, 23181875.692411624, BAKES, 107, 2110, 531, 2994, 0.08660319686674711, 990.4518957814363, 206.30971345676232, 531, 0.0006910539605916296, 5.89802017698907, 0.9523615130774506, 353, 0.042182349522437344, 185.97016608636815, 0.0 
24, 164290637.12868616, FILCH, 753, 14634, 3761, 20934, 0.025378276184369497, 978.7083381938716, 207.3806230097596, 3761, 0.0015103656419940576, 10.695260916144269, 1.024013862069241, 2539, 0.03675022721553471, 321.876789728541, 0.0 
25, 758683625.063779, CHIEF, 3491, 68414, 17451, 97639, 0.0015397741100713347, 1213.3788632407857, 205.9065267553214, 17451, 6.66813742722209e-05, 10.24780602966373, 0.9908704232242154, 11774, 0.0019415910612769107, 338.46880732780204, 0.0 
26, 163537536.87551966, INLET, 796, 14740, 3976, 21134, 0.030941947974746142, 1056.1421215029554, 204.470753992455, 3976, 0.00011679352658603518, 8.774578934528948, 1.0090376433442243, 2418, 0.0006813314635508348, 190.0943959250215, 0.0 
27, 88263954.27462834, CHEAP, 415, 7892, 2071, 11353, 0.03558752868064374, 1022.0977412228951, 206.2240157378248, 2071, 2.2989568411667296e-05, 8.306766059046566, 1.013892613619501, 1390, 0.005211566957900627, 279.79467094903606, 0.0 
28, 121213232.05220877, SHEEN, 547, 10916, 2731, 15517, 0.0026837238449317624, 1114.6198077346676, 206.7264612008883, 2731, 0.000820464830279768, 9.55948519056295, 1.0073633311383177, 1870, 0.002799299872506939, 208.77802385424962, 0.0 
29, 251789143.09763664, LOFTS, 1151, 22418, 5751, 32136, 0.0015661290882746925, 1089.26861723035, 206.4574370399629, 5751, 0.0002980500532296411, 7.886322078249986, 1.0109644065978587, 3967, 0.011592818589369891, 285.45264652082886, 0.0 
30, 241546779.01148826, RIALS, 1112, 21815, 5556, 31053, 0.016699202207348662, 1083.0970777757232, 207.07350962274023, 5556, 0.00010913680267009065, 9.062612068857112, 1.0013336479524155, 3682, 0.0008263220760988294, 233.5412681600232, 0.0 
31, 1091085662.019138, FEELS, 5045, 98058, 25221, 140113, 0.003992454028363568, 1226.6030749066067, 206.3188035544828, 25221, 4.8712151344336874e-05, 11.215848477499337, 0.9995458691004921, 16834, 0.005364713510124731, 417.6584775511241, 0.0 
32, 438846255.0690137, DATED, 2038, 39498, 10186, 56440, 0.00132428655657435, 1124.618552380989, 205.37197488723788, 10186, 6.248419190743979e-05, 10.043876818196527, 0.9963165423222137, 6756, 0.004980952958650604, 250.16477745316763, 0.0 
33, 196009991.3075753, EPHAH, 903, 17580, 4511, 25082, 0.026342559670531784, 1078.1521953366675, 206.73316658412745, 4511, 3.558029046326273e-05, 9.532730316003947, 1.0195981881470249, 2991, 0.013895133692212017, 196.54098845680917, 0.0 
34, 24974454.915075608, SEVER, 118, 2293, 586, 3245, 0.008016226461556641, 958.7188622272281, 205.32659074885424, 586, 2.1341066684044098e-05, 6.967323391880511, 0.9936220733223802, 366, 0.010752330537543707, 243.27171173341853, 0.0 
35, 348854502.25153315, DAFFY, 1608, 31301, 8036, 44713, 0.0018753830453874798, 1080.0032483602497, 206.24103648862666, 8036, 0.00017030577352706655, 8.022329923875926, 0.9972447409605598, 5376, 0.001244562108271696, 283.08943742532466, 0.0 
36, 109683009.66114092, RILED, 502, 9859, 2506, 14131, 0.0036056648127811286, 996.8102668514616, 205.94818855277754, 2506, 0.00023838431514865854, 7.524607754975033, 1.0056364841280372, 1766, 0.005383218701327635, 180.44651240352434, 0.0 
37, 141912846.20292965, HOURS, 645, 12845, 3221, 18216, 0.035797846650538645, 1118.790862965805, 207.02589580474046, 3221, 2.7441037342415493e-05, 7.420333704258207, 0.974550292854559, 2150, 0.027920125825677055, 231.13170638698824, 0.0 
38, 589138512.089851, FREED, 2698, 53060, 13486, 75930, 0.0022993015724281918, 1259.2708554414476, 205.66521050287878, 13486, 2.1527044580560833e-06, 10.430649323167822, 1.0054396758168946, 9384, 0.0031122422426001248, 283.9171385288422, 0.0 
39, 783264188.1487204, BLOWS, 3646, 70089, 18226, 100401, 0.005651633693886993, 1082.6977002375527, 206.23322060181542, 18226, 5.092992621400897e-05, 12.116915744040046, 1.0053439211837152, 12086, 9.542048191827372e-05, 291.8257611855975, 0.0 
40, 937433586.828813, FLASH, 4319, 83980, 21591, 120052, 8.435485271007792e-05, 1119.9480175674196, 206.15999081240687, 21591, 5.316528102538099e-05, 9.912185310354527, 0.994062790219284, 14481, 0.0019871213619945863, 323.87181464976055, 0.0 
41, 124398074.37145069, THEWS, 563, 11359, 2811, 16033, 0.016404692701939894, 1153.500951360393, 206.27676639114475, 2811, 0.00023372291545395598, 7.119297566113968, 1.0061761571869596, 1863, 0.0009070299968607411, 232.01147260401694, 0.0 
42, 584310084.2116375, ALONE, 2703, 52290, 13511, 74787, 0.00027354215948349747, 1102.9064710414057, 206.33062290136752, 13511, 2.77985778682316e-05, 9.154627172901842, 1.0098125873833121, 8986, 0.0038109434575887414, 393.55431555111664, 0.0 
43, 55343889.93892598, OGRES, 256, 4964, 1276, 7086, 0.19780050556067152, 1003.9830521754109, 207.317776191289, 1276, 0.0009597495241355425, 9.667551963736402, 0.9792826368806701, 846, 0.009733954985874609, 206.42571285217488, 0.0 
44, 309694950.96378136, HALED, 1424, 27818, 7116, 39740, 0.003465348555302228, 1083.7302692942833, 206.64193502498523, 7116, 0.00014805918250359343, 9.591118870321571, 0.9900010826289015, 4806, 0.006944147119188757, 241.26445475134844, 0.0 
45, 122693275.93579793, GLUEY, 561, 11119, 2801, 15804, 0.046235992958742145, 1003.45461866299, 206.71653625271222, 2801, 0.0005141290256928152, 8.14673161284508, 1.009516256455419, 1884, 0.02532290112770298, 252.56204989445317, 0.0 
46, 91344827.99414158, TURFY, 406, 8233, 2026, 11652, 0.018311856622403866, 957.6670957189096, 206.96751256263434, 2026, 0.0002628358401762526, 7.779560973097877, 1.035335503784274, 1393, 0.01980788809082601, 231.93587819695577, 0.0 
47, 545015783.821595, SHEDS, 2517, 48546, 12581, 69518, 0.01738468501144297, 1153.0382507082093, 206.64149652630766, 12581, 7.314236794085371e-05, 9.238019794232235, 0.9933481668169476, 8391, 0.0031078110096308485, 305.2770535961817, 0.0 
48, 247329810.91477802, RATES, 1148, 22213, 5736, 31701, 0.0026208496111692625, 1155.526522508183, 206.6870542419578, 5736, 1.1211345680455951e-06, 8.591310173208596, 0.9714250116268788, 3752, 0.0095446755392285, 239.56072761995375, 0.0 
49, 24013949.588526517, EARED, 116, 2092, 576, 3041, 0.11858711018059154, 1064.459690598057, 207.41433706731698, 576, 0.0013694439853693461, 6.721345543908823, 1.0556533494503322, 373, 0.011017304383943221, 186.103445011198, 0.0 
50, 494324976.0834126, BEERY, 2274, 44610, 11366, 63652, 0.012450883499191434, 1079.6882689624267, 206.0738000054376, 11366, 1.765970731460031e-05, 9.178532344505154, 1.0013070053479474, 7676, 0.002789308294260837, 272.45105297916115, 0.0 
